tender_id,source,title,department,budget,national_id_format,cross_source_overlap,other_sources,announcement_url
69079075573,EGAT,เชิญชวนเสนอราคางานจ้างบำรุงรักษาและดูแลระบบงาน MMS (AMS) และงานจ้างพัฒนาโปรแกรมร,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 2,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88921
69079061465,EGAT,ประกวดราคาเช่าเช่ารถยนต์จากบุคคลภายนอก จำนวน 2 รายการ รวม 3 คัน ระยะเวลา 5 ปี ( ,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุเขื่อนสิริกิติ์,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88889
69079020168,EGAT,งานจ้างปรับปรุงระบบไฟฟ้าแรงสูง บริเวณสถานีไฟฟ้าแรงสูงเขื่อนภูมิพล,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุเขื่อนภูมิพล,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88888
69069494993,EGAT,จ้างก่อสร้าง งานก่อสร้างคันดิน Line 2 ที่ระดับ 470 ม.รทก. โรงไฟฟ้าแม่เมาะ เลขที่,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างโรงไฟฟ้าแม่เมาะ,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88872
69079108563,EGAT,งานจัดหาเครื่องปรับอากาศรวมค่าติดตั้ง จำนวน 53 ชุด ในพื้นที่ภาคตะวันออกเฉียงเหนื,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุฝ่ายปฏิบัติการภาคตะวันออกเฉียงเหนือ,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88876
69079223220,EGAT,ประกวดราคาซื้อเวทีอลูมิเนียม จำนวน 48 ชุด และบันไดอลูมิเนียม จำนวน 4 ชุด หอประชุ,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 3,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88884
69079134682,EGAT,ซื้อพร้อมติดตั้งโคมไฟฟ้าส่องสว่างประสิทธิภาพสูงชนิด LED (Light Emitting Diode) เ,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 1,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88871
69079263307,EGAT,จ้างเหมาขนส่งหม้อแปลงไฟฟ้า 300 MVA. น้ำหนักประมาณ 149 ตัน จำนวน 1 Unit จาก สถานี,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 2,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88874
69079030345,EGAT,ประกวดราคาจ้างงานจ้างทำแพคเกจปฏิทิน กฟผ. ประจำปี 2570 เลขที่ หจก4. 34/2569 ด้วยว,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 4,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88846
69079042286,EGAT,ประกวดราคาซื้อUPS Stabilizer สำหรับระบบเครือข่าย เลขที่ หจธ.(ซ.)2/2569 ด้วยวิธีป,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานธุรกิจเกี่ยวเนื่อง 3,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88857
69069556805,EGAT,ประกวดราคาจ้างก่อสร้างงานจ้างก่อสร้างปรับปรุงอาคารเก็บน้ำมันใช้แล้ว บริเวณอาคาร ,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุโรงไฟฟ้าพระนครใต้,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88842
69059524012,PTT,จ้างดำเนินการโครงการสำรวจความหลากหลายทางชีวภาพ ในพื้นที่โรงแยกก๊าซธรรมชาติขนอม,,,True,False,,https://procurement.pttplc.com/th/award/index
69069513203,PTT,จ้างรื้อถอนหอชะคราม และสิ่งปลูกสร้างประกอบ ศูนย์ศึกษาเรียนรู้ระบบนิเวศป่าชายเลนส,,,True,False,,https://procurement.pttplc.com/th/award/index
69069481277,PTT,เช่าใช้อุปกรณ์ Tablet สำหรับผู้บริหาร ปตท. ปี 2569,,,True,False,,https://procurement.pttplc.com/th/award/index
69079069757,PTT,จ้างบริการเพื่อประเมินศักยภาพและความชำนาญด้านธุรกิจ เพื่อคัดเลือกผู้สมัครโครงการ,,,True,False,,https://procurement.pttplc.com/th/award/index
69069363706,PTT,จัดซื้อพร้อมติดตั้งจอแสดงผลประชาสัมพันธ์,,,True,False,,https://procurement.pttplc.com/th/award/index
69069363773,PTT,งานเช่ารถยนต์เพื่อความต่อเนื่องในการใช้งาน จำนวน 2 คัน,,,True,False,,https://procurement.pttplc.com/th/award/index
