source,tender_id,title,title_en,department,budget,winning_bid,winner_name,winner_tax_id,method,category,announcement_date,submission_deadline,award_date,tor_url,tor_text,announcement_url,num_bidders,status,scraped_at
PEA,68069452018,ประกวดราคาซื้อการจัดซื้อวัสดุก่อสร้าง งานก่อสร้างสายส่งระบบ 115 เควี ให้ บริษัท ควอตซ์ คอมพิวติ้ง จำกัด โครงการ Dolphin จ.ชลบุรี ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),,,4220017.34,,,,e-bidding,works,2025-06-30,2025-07-08,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/e8003182-604b-4306-a5bb-beb5f3b8cfbc/PEA-229006-Annoucement.pdf,,https://bidding.pea.co.th/procurement/e8003182-604b-4306-a5bb-beb5f3b8cfbc,,closed,2026-07-10T08:22:02.914019+00:00
PEA,67069045279,จัดซื้อชุดเชื่อมสายแรงสูง (31 รายการ) จำนวน 7 ชุด,,,2996000.0,,,,e-bidding,goods,2025-06-30,2025-07-04,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/4a0d6681-248e-4351-9ac8-be5a9db0f4d5/PEA-228953-Annoucement.pdf,,https://bidding.pea.co.th/procurement/4a0d6681-248e-4351-9ac8-be5a9db0f4d5,,closed,2026-07-10T08:22:04.211229+00:00
PEA,68069514285,"จัดซื้อพัสดุขาดแคลน สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75 องศาเซลเซียส 95 ต.มม. (รหัสพัสดุ 1-02-007-0004) จำนวน 14,440 เมตร สำหรับงาน OPSA ปรับปรุงหม้อแปลงบ.ป่าก่อพัฒนา (แรงต่ำ) ในพื้นที่ การไฟฟ้าส่วนภูมิภาคสาขาแม่ลาว ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",,,1019752.8,,,,e-bidding,works,2025-06-27,2025-07-03,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/308182ce-5edb-4bbf-8390-319322d4429e/PEA-228769-Annoucement.pdf,,https://bidding.pea.co.th/procurement/308182ce-5edb-4bbf-8390-319322d4429e,,closed,2026-07-10T08:22:06.513652+00:00
PEA,68039416307,"งานจัดซื้อปั๊มน้ำขับเคลื่อนด้วยเครื่องยนต์ดีเซล ๖ สูบ ๔ จังหวะ ติดตั้งบนฐาน
จำนวน ๒ เครื่อง ที่ กฟฉ.๒",,,1900000.0,,,,e-bidding,works,2025-06-26,2025-07-04,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/97f78002-38a8-4845-866a-d50a53136132/PEA-228645-Annoucement.pdf,,https://bidding.pea.co.th/procurement/97f78002-38a8-4845-866a-d50a53136132,,closed,2026-07-10T08:22:08.446108+00:00
PEA,68069466533,ประกวดราคาซื้อผลิตภัณฑ์-วัสดุอุปกรณ์เข้างานก่อสร้างขยายเขตระบบจำหน่ายไฟฟ้า งาน บริษัท ภัททา ดีเวลลอปเม้นท์ จำกัด (เฟส4),,,,,,,e-bidding,works,2025-06-26,2025-07-02,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/c59db8a3-cfb6-49f0-8ea5-da0cd795a356/PEA-228616-Annoucement.pdf,,https://bidding.pea.co.th/procurement/c59db8a3-cfb6-49f0-8ea5-da0cd795a356,,closed,2026-07-10T08:22:11.006471+00:00
PEA,68069189639,จัดซื้อชุดเครื่องมือสำหรับงานติดตั้งอุปกรณ์ในสถานีไฟฟ้า (จำนวน 4 รายการ) จำนวน 12 ชุด,,,3210000.0,,,,e-bidding,works,2025-06-26,2025-07-04,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/887a9cc7-4a8c-470e-983e-d1543898f6e5/PEA-213855-Annoucement.pdf,,https://bidding.pea.co.th/procurement/887a9cc7-4a8c-470e-983e-d1543898f6e5,,closed,2026-07-10T08:22:12.906540+00:00
PEA,68059193892,ประกวดราคาซื้อPOLE 12.20 M. ตามแผนจัดหาประจำปี 2568 งบโครงการต่างๆ เลขที่ 68HAH074MM ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),,,11175936.0,,,,e-bidding,goods,2025-06-25,2025-07-01,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/9a776c40-d166-4ff9-9f3d-7605baacaa32/PEA-228464-Annoucement.pdf,,https://bidding.pea.co.th/procurement/9a776c40-d166-4ff9-9f3d-7605baacaa32,,closed,2026-07-10T08:22:16.278978+00:00
PEA,68029198900,ประกวดราคาจ้างก่อสร้างอาคารสำนักงานพร้อมศูนย์บริการลูกค้า อาคารอยู่เวรแก้กระแสไฟฟ้าขัดข้อง รั้ว-ประตู ถนน-ลาน รางระบายน้ำ และรื้อถอนสิ่งก่อสร้างของเดิม ที่ การไฟฟ้าส่วนภูมิภาคสาขาขลุง จังหวัดจันทบุรี,,,24118228.0,,,,e-bidding,works,2025-06-25,2025-07-16,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/c6db9338-28d5-4397-bb9c-10187ed8fdaf/PEA-228457-Annoucement.pdf,,https://bidding.pea.co.th/procurement/c6db9338-28d5-4397-bb9c-10187ed8fdaf,,closed,2026-07-10T08:22:17.969247+00:00
PEA,68069237015,จัดจ้างทำสายอลูมิเนียมแกนเหล็ก ขนาด 50/8 ตร.มม. จำนวน 465 กม. เลขที่ กจพ2-สฟ-018-2568,,,3134565.0,,,,e-bidding,goods,2025-06-25,2025-07-03,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/82a0482c-3d12-47e6-b2c8-b1d1a5a5e5f1/PEA-228409-Annoucement.pdf,,https://bidding.pea.co.th/procurement/82a0482c-3d12-47e6-b2c8-b1d1a5a5e5f1,,closed,2026-07-10T08:22:20.266538+00:00
PEA,68039452730,ประกวดราคาซื้อเครื่องมือตรวจสอบความเที่ยงตรงของมิเตอร์ (Modular Three Phase Portable Test System) จำนวน 1 ชุด ตามแผนงานสนับสนุนการดำเนินงานระยะที่ 5 จัดซื้อเครื่องมือ-เครื่องใช้ ปี 2567 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),,,2033000.0,,,,e-bidding,goods,2025-06-25,2025-07-03,,https://bidding.pea.co.th/sites/default/files/procurements/2025-06/f00f7fa9-937e-4067-ac9e-ec643985680b/PEA-228406-Annoucement.pdf,,https://bidding.pea.co.th/procurement/f00f7fa9-937e-4067-ac9e-ec643985680b,,closed,2026-07-10T08:22:21.646603+00:00
